"","logFC","logCPM","F","PValue","FDR"
"YBX3",-1.51559907207593,7.79038302778252,208.439558561542,1.50428005923524e-33,9.14898199961104e-32
"FSCN1",-1.75633071553769,7.85199377719943,209.982915842352,2.012230853058e-33,1.20409297820083e-31
"PLEC",-1.29236538819485,8.5310085760947,199.582898870277,3.62107140340168e-33,2.13240871533655e-31
"SDF4",-1.2593803072763,7.7092440316565,196.921861274681,7.46336204291329e-33,4.3264176842513e-31
"PDIA3",-1.16091493637714,8.50546559922984,193.288847312832,2.01810256564255e-32,1.15187084900521e-30
"CALR",-1.31701367559116,8.7095054578638,190.885942807564,4.71656068703426e-32,2.65127881043896e-30
"SELENOW",-1.0406451162075,7.89491128323292,190.141702215242,4.81051968664608e-32,2.66373552797865e-30
"TNC",-2.14847572382839,7.91820124505304,196.305627524726,7.22805878803135e-32,3.94354383876416e-30
"SAT1",-1.75826417552424,8.2509373028774,195.054739674839,9.10243240007138e-32,4.89420640641519e-30
"UQCRHL",-1.29689025089421,7.97188519173264,189.143278289961,1.18875644568435e-31,6.30040916212706e-30
"FABP5",-2.18674572172453,8.58302468296546,193.76022336304,1.38616666303071e-31,7.24320890118863e-30
"SLC1A5",-1.19176245962133,7.14092565785368,184.895752127726,2.07667695590928e-31,1.07006548700326e-29
"PPDPF",-1.33109116307122,7.68554480203218,186.001811534906,2.8136567377421e-31,1.42995431466071e-29
"RAP2B",-1.21349776211955,7.53626703780295,182.758080163825,3.96028194269625e-31,1.98549270370312e-29
"ESRP1",-1.19246079234037,7.52445887828614,182.215803873046,4.71307256306137e-31,2.33139989452769e-29
"TMED9",-1.20177197393808,8.10867347429221,181.727856271103,5.23585744053709e-31,2.55592514531482e-29
"SEMA4B",-1.53788220943438,7.68281105806013,187.365097880281,5.57932052981114e-31,2.68821807345446e-29
"ATP5ME",-1.11051234206773,7.84629799800617,177.883248201603,1.51056853120019e-30,7.18488365481117e-29
"ITGAV",-1.8545985024958,7.43878147090535,181.669107443436,3.34307239631511e-30,1.56956450172472e-28
"CTNNA1",-1.12188354928014,7.51333058168759,175.066426759869,3.38450566409642e-30,1.56956450172472e-28
"PGK1",-1.50580308692114,8.2979573094833,180.123521167302,3.4333935658143e-30,1.57257902829272e-28
"PLXNB2",-1.23437836259258,8.11766174640015,175.985989815277,3.86011605086954e-30,1.74646714008854e-28
"COX8A",-1.31307917942514,8.19364252006104,176.992139209284,4.53712959461499e-30,2.02804226458092e-28
"ATP1A1",-1.42803478871387,7.36358378911462,176.321275045747,6.66871394527379e-30,2.94534865916259e-28
"CD151",-1.46311086110714,8.06108379221991,173.758078524096,1.93646186363352e-29,8.45208648715338e-28
"CORO1A",1.66792954341347,8.8077734820049,171.671603007778,2.04357515553474e-29,8.81588817096962e-28
"KRT8",-1.7073870578573,8.22416359552559,173.244299644597,3.18176330076357e-29,1.35682090181987e-27
"CDK2AP1",-1.05041832044629,7.75916779901573,167.178683367324,3.33997136058106e-29,1.40810156224497e-27
"HSP90AB1",-1.22649076820169,8.86004157457621,164.409092910728,7.54328702711524e-29,3.14444886186489e-27
"TPI1",-1.45955388514008,8.08111661068544,167.881817255355,1.01609622199543e-28,4.18857442622562e-27
"SLC25A5",-1.23406457659528,7.90729716358514,164.080273468938,1.50882520994714e-28,6.1513643174768e-27
"CTTN",-1.24935666696806,8.13730344466687,161.906304477778,3.08109663237936e-28,1.24248570718776e-26
"ID1",-1.76071543688664,7.70062709623057,163.072984328832,5.63743468200575e-28,2.24891211507971e-26
"NDUFB2",-1.38688468351126,7.62349983786539,160.698359071573,7.20604811885011e-28,2.84408920435467e-26
"ATP5MF",-1.15244046676064,8.33802193780398,156.979852745444,7.5094053552636e-28,2.93262040716084e-26
"GANAB",-1.07105425392242,7.5045743264047,155.947742116657,9.42291882885502e-28,3.64156550573459e-26
"GRN",-1.70507146694782,7.7346264875471,160.263337904472,1.24464600133704e-27,4.76045017006228e-26
"PTPRCAP",1.2610054390232,8.46883565550687,154.512691472263,1.45401689653138e-27,5.50449253686879e-26
"JAK3",1.26422534481677,8.39637393218785,154.150506639671,1.6226561626294e-27,6.08086299328796e-26
"YWHAE",-1.06371361896951,8.56034904398539,153.061694063795,2.25822675004251e-27,8.37802124265772e-26
"IFI6",-1.49825117363003,6.85531784986265,152.819509540984,2.43081102667242e-27,8.9290187217373e-26
"BCAP31",-1.17310851193559,7.25136065465137,152.190010123576,2.94428762077164e-27,1.07091245814341e-25
"RAB7A",-0.931205871316511,7.63614011150504,150.648987285066,4.71313433599269e-27,1.6976435326731e-25
"RIPOR2",1.11198529626408,7.94705293497956,148.714060970307,8.53200467673524e-27,3.04362859141228e-25
"LTB",1.77720382156429,9.14978357069502,152.151853152462,8.68050278270767e-27,3.06711098322338e-25
"FOSL2",-1.23149124829657,8.36560434409583,150.316241870715,1.02164430621095e-26,3.57575507173831e-25
"SERINC2",-1.73002358884607,7.2442487921812,150.383492779896,2.05501961637766e-26,7.12534838949636e-25
"SGK1",-1.41224160458461,8.25429698781923,149.683468676002,2.24701223304661e-26,7.71890313389161e-25
"ARF5",-1.07543134296716,7.68210380873914,145.2236642091,2.54474023460567e-26,8.66145529393305e-25
"SEPTIN6",1.16816365194406,7.77680836356793,144.235402910464,3.40999525299332e-26,1.15009839896411e-24
"PRDX5",-1.06567211397983,7.55245250736886,144.026689198036,3.63890638254321e-26,1.2162470882194e-24
"RPN1",-1.35730025540376,7.0817403151454,143.814392446746,3.88766366668278e-26,1.28778858958867e-24
"TYMP",-1.32214068711237,7.68310032155316,145.842985998938,6.12686192741984e-26,2.01156263280775e-24
"TPM4",-1.04687778785465,8.17324446153259,142.319411276099,6.19989654115605e-26,2.01768562874465e-24
"USP17L11",1.07955221195665,9.97522060996856,142.253666811273,6.32873882082787e-26,2.04170617611056e-24
"LGALS3BP",-1.52344408749653,7.7209998292981,145.668186288023,8.22657806236651e-26,2.63108660442929e-24
"ATP2C1",-0.956479109607482,7.52249674417817,141.070607247819,9.16922079115043e-26,2.90750505428787e-24
"MYL12B",-1.0237646304049,8.14536463454899,140.580106944545,1.06965006088513e-25,3.36305231007105e-24
"TMBIM6",-0.986315581368231,8.20666867264084,140.200315108358,1.20534289108064e-25,3.75783371925141e-24
"LMNA",-1.25889491042295,7.8133534671182,143.117353035388,1.31689164756204e-25,4.07139001037931e-24
"ZNF385A",-0.969601032272582,7.80034900000749,137.599553749036,2.73999829670883e-25,8.40115180230558e-24
"TUBB6",-1.39934301006627,7.49365743426888,141.365920283827,2.76350726408002e-25,8.40378028666958e-24
"USP17L12",1.08540648775149,10.1093892140091,137.190497795285,3.11943025973377e-25,9.40901322244902e-24
"MMP14",-1.72081967652057,7.32756414175481,139.595837308293,5.3607552538762e-25,1.60390338644199e-23
"GPI",-1.21107653211391,7.5484443317954,137.125793366553,6.08335795385029e-25,1.80554064070277e-23
"TNFRSF21",-1.16143004016136,7.31210313438213,135.899731357443,7.15238045964081e-25,2.10597869089424e-23
"KDELR1",-1.15953123507097,7.10724631301755,134.017398982844,8.5735041229729e-25,2.50454333041177e-23
"TUBA1C",-1.42065717684958,9.38288663644176,136.872431461419,8.98355825272226e-25,2.60382821231247e-23
"TMBIM1",-0.8887016729816,7.71869130538094,133.749383970383,9.34162001518111e-25,2.68662095010247e-23
"PDIA6",-1.18236439840684,8.04940523981107,135.414289243902,1.12000321886054e-24,3.19631687844047e-23
"NDUFA13",-1.20271121030366,7.40356362232391,134.894678156649,1.19170178330335e-24,3.37497222599651e-23
"ETS2",-1.14203228641899,7.18687012126607,132.1183500767,1.57686588612502e-24,4.43194881630594e-23
"BANF1",-1.04603745186486,7.21956830475382,131.72924469699,1.78727093665727e-24,4.98554524435977e-23
"TRBC1",1.91040824082348,8.7085743685538,134.669921186951,2.28922726585672e-24,6.33808444502123e-23
"PPIA",-1.29360879552937,8.86523813574913,133.357807948171,2.3378123464309e-24,6.42465467056195e-23
"PDPN",-1.7472378665638,7.75103232458991,134.654284588844,2.41557932181066e-24,6.58955829699819e-23
"SLPI",-1.2823699076802,7.80279770485669,133.799401150957,2.46024617672803e-24,6.66241847858468e-23
"MYH9",-1.13114655048748,9.80110140797843,128.39740612946,5.25297625728187e-24,1.41221318221129e-22
"ARHGAP45",1.12256247906614,8.00511192666734,127.9264061778,6.12277888904571e-24,1.63420932937839e-22
"TUBB4B",-0.972898755167249,8.51008056419014,127.883674094277,6.2085497929409e-24,1.64526569512934e-22
"ADH5",-0.921850792184261,7.45654327782151,127.598235429093,6.81341865703097e-24,1.79275058280744e-22
"ITGA3",-1.92614589300759,7.37618948183859,130.766994867971,8.01849302885889e-24,2.0949724744413e-22
"BSG",-0.992186089172174,7.74240220978354,126.902047864039,8.5502078850742e-24,2.21827071703673e-22
"PDXK",-0.896412874002701,7.56485180969162,126.567185727803,9.53844496409435e-24,2.45747436227709e-22
"IKZF1",1.06592214755946,7.52044643095211,124.923368143108,1.63422899353211e-23,4.1813721144856e-22
"ATP5F1B",-0.994764474530143,8.15887647510034,124.356062744243,1.96909775728119e-23,4.99396458749732e-22
"TRIO",-1.00016225253037,7.62026215958451,124.341207471168,1.97874068561215e-23,4.99396458749732e-22
"PRKCSH",-0.957115451901525,7.79216852975857,123.428448141943,2.67251814757672e-23,6.699352923993e-22
"SNRPD3",-0.937968161871728,8.03662864366575,123.402882496699,2.69514206068704e-23,6.71072284909323e-22
"C19orf53",-0.905966080795929,7.44832964123717,123.130527440686,2.94848916597031e-23,7.29259653716658e-22
"DUX4",0.801121132673913,10.9541896853712,122.687414216205,3.41307277844814e-23,8.38576159473019e-22
"PLD3",-0.994377417311787,7.54388392920641,122.50846458106,3.62102300868762e-23,8.83815484357307e-22
"HDLBP",-0.950948734598424,7.71244647418001,121.147120165608,5.68416527842556e-23,1.37831720150058e-21
"ZNF776",0.884532967973427,9.05765710249419,121.023747879479,5.92178077023694e-23,1.42661082192072e-21
"OCIAD2",-1.2878577205454,7.48323116336878,122.716282491122,8.3791198234016e-23,2.00558287385935e-21
"TFRC",-0.901268134212649,7.82678653331162,119.604030323955,9.49683519409499e-23,2.25854221603156e-21
"USP17L3",1.00812809127583,9.40332762049896,118.385221363504,1.42676283422923e-22,3.37152236623596e-21
"FCMR",1.34084349468683,8.13853390978186,119.15217958401,1.82915741915513e-22,4.29504685130731e-21
"TMSB10",-1.33888373135778,10.4894951254309,118.778473602587,1.96072068622198e-22,4.57501493451794e-21
"TMC8",1.12169064245336,7.66641406560933,117.25033975778,2.08697152450827e-22,4.83916522245356e-21
"COX6C",-1.02146272470487,7.79877968581511,117.720672013687,2.14963766965134e-22,4.9535128909357e-21
"FTH1",-1.10587910409832,11.0207706464987,117.039461999249,2.24009713838191e-22,5.13009900209685e-21
"COX6B1",-0.968932554504005,7.90277502095399,116.745180953365,2.47292407022038e-22,5.62855723958135e-21
"PRDX1",-1.37519862814978,8.09950575610159,119.003119604074,3.15259608811383e-22,7.1317874920136e-21
"GPX4",-0.861417537610237,8.15467677186064,115.884446909967,3.30391374700373e-22,7.4288000008387e-21
"CSNK1E",-0.914311939485051,7.45351409578872,115.855595838245,3.33619562767973e-22,7.45619625222397e-21
"ARHGAP4",1.12541154471889,7.41800450250731,115.551147331619,3.69686954711375e-22,8.21280599987546e-21
"HSP90AA1",-1.00458873636133,7.91390309745548,115.920447736067,4.02981692706151e-22,8.89917904726083e-21
"ITGA4",0.979345980556282,7.98895401367807,114.871262207603,4.65091806346246e-22,1.02100035594354e-20
"LYRM2",0.852309963241337,9.84510252340007,114.674834144734,4.97029111621146e-22,1.08469294359674e-20
"AKNA",1.10185229671976,7.79331763201579,113.963447103494,6.3238327238379e-22,1.3720128307274e-20
"NME2",-1.06530644148774,7.7114372387046,114.834213630627,6.7231941855002e-22,1.45017735047708e-20
"VEGFA",-1.76301864240646,7.79570351554132,115.492151963939,1.01515036165046e-21,2.17699875244116e-20
"MDK",-1.27943374078466,7.48229047298613,114.926375957866,1.09914543809971e-21,2.34358021571835e-20
"C4orf3",-0.894921402881974,7.88081911605759,112.237887962083,1.13661251048467e-21,2.40961852222751e-20
"AHNAK",-0.924079545987913,8.00260045625193,112.208346027872,1.14810901394574e-21,2.42016161462425e-20
"NDUFB4",-0.948923468303134,7.55031127766909,112.126035416932,1.18076346536278e-21,2.47493359124062e-20
"NDUFS5",-0.942171043044338,7.3904105518237,111.262975068592,1.58508434132784e-21,3.30374320580129e-20
"LAMP1",-1.28591374011145,7.89837972118076,113.771391158769,1.65528367887468e-21,3.43078349085199e-20
"DDOST",-0.968822170041256,7.57194654435627,110.710220478713,1.9148423374313e-21,3.94670281770562e-20
"RASA3",0.979750216633442,7.52554211202419,108.8474165692,3.62867250683516e-21,7.43777624329195e-20
"PSMC5",-0.735485494929814,7.54038132715948,108.61232912119,3.93453302263286e-21,8.0203942384439e-20
"ADRM1",-0.857230936365587,7.63667585859807,106.825554270125,7.29169906307735e-21,1.4782624876512e-19
"ITM2B",-1.13997714911867,8.21616314180222,107.723053044762,9.71467027806981e-21,1.9587731919369e-19
"SLC38A2",-0.926962650638796,7.22238838682355,105.829751461068,1.02987007456023e-20,2.06530701438836e-19
"PPIB",-1.01125708928756,8.57385040738429,106.163592756654,1.129969615949e-20,2.25386412643591e-19
"PRDX2",-1.04305211059272,7.80768186567586,106.800319423919,1.15563464335493e-20,2.29272969350097e-19
"PHLDA1",-1.44886657727217,7.35003381883976,107.083984902595,1.58349937868039e-20,3.12488441218312e-19
"OST4",-0.927846525455678,8.05369310934169,104.426732871411,1.77044590354198e-20,3.4753197365824e-19
"ABCC1",-1.04252402269675,7.43968814070658,105.230450325903,1.88224429949797e-20,3.67532965849341e-19
"EIF3C",-0.783029159896044,8.15478877822765,103.627401753038,2.21839534324643e-20,4.30902969813836e-19
"SDC4",-1.04312197041095,7.2607595440785,103.611417549531,2.27654946073626e-20,4.39895755173518e-19
"PDCD6",-0.86310720330661,7.33210332362834,103.418715336766,2.38634499457008e-20,4.5872227615829e-19
"ZNF417",0.809650091923233,9.41948433381283,103.389504433065,2.41085590388473e-20,4.61045123887234e-19
"SERBP1",-0.966023777632938,7.4620154250341,103.857801595134,2.45973505193838e-20,4.67980361163662e-19
"CTSB",-1.68272872802959,9.10852302493656,105.603144213256,2.6381019335805e-20,4.9935500885631e-19
"COX7A2",-0.942986923195687,7.37180830449541,102.795466487658,2.96831324411582e-20,5.59007215008614e-19
"MYL6",-1.02290783039598,8.46851779549096,102.854697337635,3.93501317816403e-20,7.37318125807503e-19
"CD52",1.341889538672,7.78415773851527,103.405805152892,4.19486550787354e-20,7.82057840915117e-19
"ADAM9",-0.848272449865045,7.53618643351929,101.673726492471,4.40096340453342e-20,8.16378711540949e-19
"PDIA4",-1.10225569072988,7.77020928020167,103.313601411403,4.57512856352533e-20,8.44464028391989e-19
"PHAX",0.793676684271063,10.4377590182622,101.220155292856,5.16266375129846e-20,9.48192203827588e-19
"GCLC",-0.947724687613034,7.33231188255362,101.176921712517,5.24187824810993e-20,9.57998438447676e-19
"UBL5",-0.804153207072605,7.84264249885177,100.672104451516,6.26282045583247e-20,1.13897372015385e-18
"IER3",-1.42389732625357,7.96342466170563,102.706339097638,6.96277007424504e-20,1.260091559778e-18
"STAT2",-0.981090687188808,7.58511902760808,100.437388736962,8.85907959324525e-20,1.59549443159902e-18
"LSP1",0.969865170660765,8.32615410921227,99.6492894196135,8.98925186080438e-20,1.6111171209461e-18
"CCND1",-1.38015092341994,7.22373469786054,101.018710788722,1.13901211409778e-19,2.03160333812632e-18
"XRCC2",0.866586021337242,9.44266757228979,98.7354243200754,1.24273782464977e-19,2.20600829160318e-18
"FCF1",0.94678513331609,10.7246741816738,98.1367402321939,1.53723961719135e-19,2.71578999037138e-18
"CYCS",-0.853796460658028,7.48699369600161,97.870955928198,1.68966516701876e-19,2.97092785290976e-18
"MLF2",-0.846122286429583,7.28476309167797,97.7018509904803,1.79449455466938e-19,3.12706165634247e-18
"COPS9",-0.719592520090414,8.10879578001675,97.7005576107267,1.79532111267101e-19,3.12706165634247e-18
"H2AZ1",-1.11425097553807,8.71217217519562,99.0978111928128,1.87800105253854e-19,3.25578687145699e-18
"CLSTN1",-0.868112802909423,8.58830701132637,97.5462513198696,1.89674117592081e-19,3.27298128496102e-18
"DDT",-0.821932910375074,7.73581319367261,97.3003601971836,2.0704407823882e-19,3.55617375123159e-18
"IRF8",1.26015234445261,8.14017888378185,98.168699396228,2.55336540019652e-19,4.36543116807792e-18
"ATP2A3",1.16140766206816,7.85197894440507,97.5511344214128,2.61870504518849e-19,4.4566035402061e-18
"AKR1C1",-1.24181636570635,7.62652827208914,98.5333781215098,2.75016447504744e-19,4.6589544303315e-18
"PTPRC",1.13150109266499,7.69128797302488,96.3991652854905,3.46502731272667e-19,5.84329605918906e-18
"ZNF587",0.837836654283612,10.2562619695938,95.2281610895114,4.34437576019956e-19,7.29304709065174e-18
"EIF4A1",-0.968266381384557,8.1305119235381,96.0492103270209,4.52910766495237e-19,7.56891416079877e-18
"COX6A1",-0.877751213887198,8.10106384973148,94.9592268379009,4.78468452049167e-19,7.96017021122157e-18
"FAM162A",-0.986531462766011,7.18338850785418,94.3712162126287,5.91079575403711e-19,9.78975546762396e-18
"ZNF705A",0.773604703013867,8.67410463790124,94.2756634209349,6.11756379402528e-19,1.00871829670372e-17
