"","logFC","logCPM","F","PValue","FDR"
"PTPRF",-1.22496134580947,7.40719770334401,68.8304937578543,8.5778878794664e-15,5.30399400547006e-13
"NDUFS6",-1.52135363717885,8.11764951954283,68.9598910957283,1.01240676659264e-14,6.15742476075195e-13
"ID1",-2.33459153355781,7.70062709623057,68.7024805005334,1.38712625651179e-14,8.30038453493346e-13
"ZNF776",1.02612720769779,9.05765710249419,66.9911351528264,1.76692820138709e-14,1.04052438526128e-12
"PPP1CB",-1.47029000410457,8.51513872466541,67.2065806027449,1.85076990606209e-14,1.06563013868554e-12
"TNC",-2.47499907630959,7.91820124505304,67.9365195442951,1.86700698152453e-14,1.06563013868554e-12
"USP17L11",1.11577734751208,9.97522060996856,66.3886424703347,2.24110370420134e-14,1.25977193069499e-12
"MIF",-1.94575529918157,8.92942407364924,67.2853209590171,2.29020057435456e-14,1.26815584042618e-12
"SAT1",-1.92999955375143,8.2509373028774,67.0379228044041,2.58437318445034e-14,1.4100036050457e-12
"ATP1A1",-1.53847337591597,7.36358378911462,65.0594736556036,4.751242464691e-14,2.55465355710197e-12
"CD151",-1.61276661366905,8.06108379221991,64.546872987314,6.27494330003004e-14,3.32571994901592e-12
"SEPTIN6",1.1584976802708,7.77680836356793,63.7263255296886,6.4466417800836e-14,3.36859732452256e-12
"CALML3",-1.55511453625885,8.14048218325572,64.389791724565,6.59448458719882e-14,3.38941907524002e-12
"P4HB",-1.33414614538843,8.13779572779242,63.9562886011979,6.6692073448119e-14,3.38941907524002e-12
"SLC1A5",-1.22492555921762,7.14092565785368,63.5803316092406,6.83318727720052e-14,3.42582767546134e-12
"SLC25A5",-1.38906722289231,7.90729716358514,63.2971298443775,8.76567844802074e-14,4.33608893895426e-12
"ARHGAP45",1.16464547487619,8.00511192666734,62.3359464080251,1.12388588521731e-13,5.48633767652132e-12
"GANAB",-1.1651845847211,7.5045743264047,62.13373893179,1.2187908375014e-13,5.87235585341583e-12
"ALDOA",-2.02021780734331,9.73136471428777,62.7744619509278,1.31144585214076e-13,6.237774501849e-12
"DUX4",0.869921916318704,10.9541896853712,61.728148653541,1.43425218089113e-13,6.73553872291912e-12
"ESRP1",-1.27734328576846,7.52445887828614,61.5187435884894,1.57928728262082e-13,7.32394477315404e-12
"S100A10",-2.17948163328563,8.29557317924928,61.5309826424209,2.22631895742745e-13,1.01970905334023e-11
"COX8A",-1.40714511040648,8.19364252006104,60.8333856189631,2.41873928285662e-13,1.09433204139001e-11
"IRF8",1.45639071288331,8.14017888378185,60.9887252793882,2.45365437410192e-13,1.09675394312267e-11
"PKM",-2.06369534032003,9.21524872770796,60.7877053538806,2.94280886337599e-13,1.29974058132439e-11
"TRBC1",1.81502148631469,8.7085743685538,60.2976990625616,3.56813558160338e-13,1.55738623620571e-11
"PLXNB2",-1.2944594629229,8.11766174640015,58.9912381880907,4.6548312655609e-13,2.00807255758499e-11
"ATP5MF",-1.27789108399846,8.33802193780398,58.7753574927325,4.81119069552536e-13,2.05166867590794e-11
"ASPH",-1.18921888234028,7.40420767515918,58.6453026930516,4.98208068148634e-13,2.10039992367208e-11
"UQCRHL",-1.29613918991997,7.97188519173264,58.7102546997371,5.38203178464604e-13,2.24352111472324e-11
"SEMA4B",-1.55888725654453,7.68281105806013,58.5282665810949,6.92878463427262e-13,2.8422816014911e-11
"LSP1",1.10711264863811,8.32615410921227,57.8193843183652,6.97163411686497e-13,2.8422816014911e-11
"RAP2B",-1.18066722058728,7.53626703780295,57.5665255368701,7.78564673723084e-13,3.13964667338331e-11
"FSCN1",-1.71923976087358,7.85199377719943,58.0203905585927,8.78965020553261e-13,3.5064088454329e-11
"PRDX5",-1.17852619566161,7.55245250736886,57.2160600277005,8.91687917728531e-13,3.51932146252431e-11
"PHAX",0.917055981441322,10.4377590182622,57.1054376767899,9.32900925485445e-13,3.63931883712971e-11
"MYH9",-1.35378765352049,9.80110140797843,57.0824317182538,9.41710534675074e-13,3.63931883712971e-11
"CTNNA1",-1.12530315173923,7.51333058168759,57.0009178834087,9.7360566432938e-13,3.72379073676495e-11
"CD37",1.69400352606673,7.85586679050344,57.0306462600924,1.30279095464916e-12,4.93199432831469e-11
"AKNA",1.13973598106433,7.79331763201579,56.0082039054509,1.4618612295478e-12,5.47828804204276e-11
"NDUFB2",-1.44826292140001,7.62349983786539,56.4265182892943,1.54261567357449e-12,5.72310414896137e-11
"CSTA",-2.31402184504947,7.80120688996758,56.2430996280806,1.81341076653118e-12,6.66114251864424e-11
"ZNF385A",-1.09468515598419,7.80034900000749,55.3441887066426,1.92020236629016e-12,6.9842654695456e-11
"PDIA3",-1.10965708194812,8.50546559922984,55.2637215042873,1.98481514212842e-12,7.14918852164704e-11
"SERBP1",-1.21879384132268,7.4620154250341,55.1246979215488,2.24339859031152e-12,8.00289304813052e-11
"LIMD2",1.38621177020448,7.86129757408056,55.3755509659538,2.32103961734507e-12,8.20100664795259e-11
"ITGA4",1.03805684614242,7.98895401367807,54.8288507052233,2.37395308546452e-12,8.30883579912581e-11
"MS4A1",2.05654352524132,7.79234225509062,55.2438902368494,2.70544304263724e-12,9.38055484877025e-11
"ITGAV",-1.78531958147683,7.43878147090535,54.8248992234254,3.19158669210857e-12,1.09636913219655e-10
"LMNA",-1.47313113244918,7.8133534671182,54.5636561617134,3.29222751273889e-12,1.12056551121663e-10
"SELENOW",-0.978426317208662,7.89491128323292,53.6302108511647,3.89442562369259e-12,1.31348355126359e-10
"ATP2A3",1.26011174940816,7.85197894440507,53.417193806294,4.7986396992849e-12,1.59021012526827e-10
"C19orf53",-1.0230865972202,7.44832964123717,53.1252529764766,4.8006343404325e-12,1.59021012526827e-10
"UBL5",-1.03768569437127,7.84264249885177,53.0153216310212,5.02459815819202e-12,1.64192283594856e-10
"TNFRSF21",-1.2944979508779,7.31210313438213,53.231108495491,5.04526154442415e-12,1.64192283594856e-10
"ETS2",-1.28011047001786,7.18687012126607,52.4254540034411,6.41948781064725e-12,2.07098258934794e-10
"PDXK",-0.986977680595498,7.56485180969162,52.122841603406,7.28078474795472e-12,2.32859581163034e-10
"FOSL2",-1.31677666988747,8.36560434409583,52.0660097376965,8.44686034842075e-12,2.6784488797129e-10
"C4orf46",0.934390910389451,10.0430162715563,51.5683727380442,9.17334687392658e-12,2.88416244934471e-10
"FABP5",-2.08275331410359,8.58302468296546,52.0551348178851,9.82843943711435e-12,3.06416053039447e-10
"SLC38A2",-1.1212914197619,7.22238838682355,51.2813298514209,1.03409855723755e-11,3.19708803945943e-10
"ADAM9",-1.06691833745276,7.53618643351929,51.0847827801246,1.12259864694015e-11,3.44201733896526e-10
"IFI6",-1.50833258937983,6.85531784986265,51.0583471739575,1.13507145101661e-11,3.4517336748128e-10
"LYRM2",0.878932885343293,9.84510252340007,50.5577574744482,1.39953789498759e-11,4.18561151605776e-10
"TYMP",-1.40115222488957,7.68310032155316,51.0355099992976,1.40629781726481e-11,4.18561151605776e-10
"ZNF417",0.878416929973553,9.41948433381283,50.5395578024983,1.41024646767445e-11,4.18561151605776e-10
"TNFRSF1A",-1.01942178825478,7.4011269217051,50.213009731131,1.61707783572292e-11,4.76139584962861e-10
"SOX4",-1.04218970728516,7.70091799482272,50.0356643181429,1.7419738496944e-11,5.08875825383168e-10
"SLPI",-1.45297357341051,7.80279770485669,50.47770292186,1.77940065372012e-11,5.1574815822669e-10
"NDUFS5",-1.08880801932679,7.3904105518237,49.5053994946371,2.17662755344657e-11,6.25991335138509e-10
"BCAP31",-1.16103907038341,7.25136065465137,49.3468415988238,2.32675460225349e-11,6.64019967258496e-10
"USP17L3",0.995458506337534,9.40332762049896,49.2056130226232,2.4692570976411e-11,6.99308689484617e-10
"TPM4",-1.09287936964567,8.17324446153259,49.0902001331243,2.59223085594664e-11,7.28573975421366e-10
"ADH5",-0.977180013638302,7.45654327782151,49.0503588087532,2.6361025238713e-11,7.35333861921995e-10
"CYCS",-1.06177965109867,7.48699369600161,48.9726391259824,2.72385323699066e-11,7.54141455913086e-10
"CD52",1.34559263991805,7.78415773851527,49.2737058968091,2.83242822754383e-11,7.73875069137167e-10
"PLEC",-1.13140146615847,8.5310085760947,48.8762033966454,2.83684661462681e-11,7.73875069137167e-10
"TMED9",-1.09507875855623,8.10867347429221,48.7843189148709,2.9610478671041e-11,8.01860407807022e-10
"SERINC2",-1.77181393343514,7.2442487921812,49.145033108526,3.20794321042156e-11,8.62425312366957e-10
"ATP2C1",-0.975040326078996,7.52249674417817,48.5609995044229,3.24025488481449e-11,8.64845008824587e-10
"SDF4",-1.07187658240465,7.7092440316565,48.516636547287,3.30150468763517e-11,8.7489874222332e-10
"TMBIM1",-0.927387782553679,7.71869130538094,48.3782261322817,3.50021584193341e-11,9.20978778267584e-10
"CCT5",-1.1253810522606,7.27212901959454,48.2228061544891,3.73777856902553e-11,9.76560457118643e-10
"FYN",1.08080999591012,7.89299570740881,48.142865812743,3.86624165733286e-11,1.00305989851083e-09
"OCIAD2",-1.42579081589655,7.48323116336878,48.5132229666388,4.0478066375256e-11,1.04287240452917e-09
"CDK2AP1",-0.987636345964695,7.75916779901573,47.966933826131,4.16488321693585e-11,1.06167980626652e-09
"UTF1",0.84452723757797,8.60446652185926,47.9561914529385,4.18385505923933e-11,1.06167980626652e-09
"CXCL13",2.42379033560836,8.54064530667426,48.5178125605346,4.20665583615035e-11,1.06167980626652e-09
"GPX4",-0.977921028301226,8.15467677186064,47.8138143043913,4.44370171031036e-11,1.1139279287332e-09
"PTPRC",1.17779612847481,7.69128797302488,47.8514583480411,4.64625427812607e-11,1.14629411408915e-09
"FGD2",1.16184599535229,7.50278645101524,47.8531396228167,4.65116556850979e-11,1.14629411408915e-09
"KRT8",-1.685605346821,8.22416359552559,48.2462329875211,4.66550973658925e-11,1.14629411408915e-09
"GRN",-1.66213554807959,7.7346264875471,48.1845853600873,4.81036646968418e-11,1.17410918437686e-09
"HDLBP",-1.0117651572875,7.71244647418001,47.5576852795532,4.95287428460353e-11,1.20099108469798e-09
"TUBB6",-1.46357090212674,7.49365743426888,47.5940114725979,6.01547557423325e-11,1.44918275197437e-09
"ZNF587",0.910477329563158,10.2562619695938,47.0303125803258,6.19459436234036e-11,1.48270613446985e-09
"CCT2",-0.947327905858861,7.48623102900919,46.9715129571371,6.35123043037097e-11,1.51045287799207e-09
"PSMC5",-0.822069034541347,7.54038132715948,46.8014043814758,6.82726804082065e-11,1.61332257525125e-09
"HSP90AB1",-1.17142168079083,8.86004157457621,46.4353965149088,7.97730540689249e-11,1.87315209237792e-09
"AHNAK",-1.04535321652663,8.00260045625193,46.3618243132605,8.23111075179501e-11,1.91355017759407e-09
"BANF1",-1.05858096393255,7.21956830475382,46.3557269145264,8.25250750444881e-11,1.91355017759407e-09
"CSNK1E",-0.987660651492736,7.45351409578872,46.1833516465793,8.88119808261762e-11,2.04653694947276e-09
"RPN1",-1.2966773457348,7.0817403151454,45.8678830983338,1.0159754834078e-10,2.32670928607588e-09
"CD48",0.877122109797745,7.55182831237326,45.7773422831941,1.05599352866365e-10,2.40351901309333e-09
"HOXB3",0.751656817172887,8.94291400057617,45.551345718309,1.16296607617907e-10,2.63085618452705e-09
"CALR",-1.15068761281439,8.7095054578638,45.3435243218005,1.29586762029398e-10,2.91373870987313e-09
"CLEC10A",0.809226256557746,8.64948668192444,45.2395634714451,1.32874690551431e-10,2.96966928883018e-09
"XRCC2",0.911620553006127,9.44266757228979,45.2049294648407,1.34857702116874e-10,2.99594056798565e-09
"UBE2L3",-0.987896625649776,7.64346016245517,45.1461081326348,1.38294290910198e-10,3.03930287385171e-09
"MMP14",-1.69853272766397,7.32756414175481,45.650771057303,1.38448028485428e-10,3.03930287385171e-09
"PDLIM1",-1.0214009885511,7.72117636590661,44.8828012278461,1.54794731982275e-10,3.37816738620141e-09
"NICN1",0.762248228559574,9.65994558648682,44.6024251120322,1.74557578694295e-10,3.78718489447856e-09
"TNFRSF13C",1.16370572316373,8.05645981232709,44.7486780914821,1.79431917617947e-10,3.87030473466619e-09
"BSG",-1.0180236262399,7.74240220978354,44.239915783362,2.03936698544436e-10,4.37344018265814e-09
"PGK1",-1.36101556150277,8.2979573094833,44.5496740603236,2.09951555432846e-10,4.47655327963138e-09
"STAT2",-1.10819411142895,7.58511902760808,44.0981785312299,2.3183353760007e-10,4.91487099712148e-09
"RTN4",-1.12469192400515,7.45727486532405,43.954903859561,2.37325204115701e-10,5.00270742766620e-09
"ATP5PO",-0.932648590220747,7.52516413231702,43.6573538355296,2.61980654815199e-10,5.49123293426209e-09
"ATP5ME",-0.95128739834631,7.84629799800617,43.2448394315519,3.12931094212132e-10,6.52232786251129e-09
"EVL",1.0372802026573,9.24646037014418,43.0217180621007,3.44546585515505e-10,7.14116107409232e-09
"ITGAL",1.03366116257735,7.60304681455674,42.9628552229232,3.53412250425142e-10,7.28421916154043e-09
"TPI1",-1.33347535093396,8.08111661068544,43.1524658491099,3.79350518789686e-10,7.77563770557865e-09
"PPIA",-1.32686650667531,8.86523813574913,42.7299028258014,4.42823719945043e-10,9.02679121426433e-09
"LGALS3BP",-1.45998247357203,7.7209998292981,42.8051743322754,4.55457838580186e-10,9.21298998927147e-09
"YWHAE",-0.994163894806402,8.56034904398539,42.3684819938024,4.56924570896483e-10,9.21298998927147e-09
"NDUFC1",-0.945926279904998,7.35278393472689,42.3215756058883,4.66294603386646e-10,9.35109718142949e-09
"RASA3",0.917588209820068,7.52554211202419,42.2201341295156,4.87227463385772e-10,9.71835424280223e-09
"BANK1",1.10314534769372,8.33692482776943,42.3150935869167,4.9631249651811e-10,9.84662760471759e-09
"SGK1",-1.39774563508601,8.25429698781923,42.4942415421216,5.11929938551341e-10,1.01024471916249e-08
"TUBA1C",-1.46526557568423,9.38288663644176,42.3888618472126,5.22835936345046e-10,1.02630757875139e-08
"RSF1",0.750119008253691,8.80070302655271,41.896130075178,5.60659581680622e-10,1.094761604229e-08
"WIPF1",0.801888693768265,8.22597246575759,41.7375288086402,6.00582780058802e-10,1.16657702304616e-08
"NDUFB4",-0.989427191221332,7.55031127766909,41.4874774063418,6.69440014412675e-10,1.29355336118283e-08
"TUBB4B",-0.998113251711836,8.51008056419014,41.398148716279,6.95926633754251e-10,1.33776570529962e-08
"H1-0",-0.872181820749589,7.44107711789875,41.3226553321762,7.19134470702031e-10,1.37525200324976e-08
"AUP1",-0.84437261176587,7.59951199226658,41.2650751591745,7.37359519476581e-10,1.40287375244006e-08
