"","logFC","logCPM","F","PValue","FDR"
"BACE2",-0.335151006849946,7.22549015936231,11.3312169354217,0.000891009570253529,0.00184363943426692
"FXR2",-0.271438984070032,7.41548573999972,11.3117144112932,0.000899975741479741,0.00186115384664986
"SHISA5",-0.295724521009968,7.46587312150303,11.3040679922585,0.000903516177000621,0.00186743454967816
"HPS6",0.26228999628797,7.96104808942152,11.3028741613363,0.000904070222524688,0.00186753926813285
"ADSS2",-0.26590353159889,7.4708013022243,11.2886438909015,0.000910701072689313,0.00188018974940309
"NFKBIA",-0.343237455507686,7.66706918613596,11.2848939747312,0.000915998956356756,0.00189007571083624
"TTC31",-0.28706498914137,7.71462848991481,11.6874487556251,0.000916860743578337,0.00189080231165961
"SPDEF",0.284750450377429,7.47177474718911,11.2543903183507,0.000926866096678162,0.00191037401037554
"RPS19",-0.399040508970949,11.3658906385641,11.2155619902606,0.000945544013480041,0.00194778916713545
"RDH13",-0.3023925044688,7.45630254378013,11.2096000033603,0.00094844574031279,0.00195268240652633
"ADAM15",-0.260770999942324,10.3845113178474,11.2056364104978,0.000950379859724164,0.00195557919000369
"CLSTN3",0.325586106672043,7.41270370188808,11.1565211405895,0.000974682904816829,0.00200447537520534
"GAS2L1",-0.235459150518142,8.09024890079943,11.1537153338114,0.000976090239947944,0.00200625750149965
"CSRP1",-0.394660904478263,7.59019880095839,11.1452171370475,0.000992646686218862,0.00203915792130231
"SART1",-0.254611309267049,7.36018246380591,11.105065121619,0.0010008241694016,0.00205481885361368
"TOP2B",0.270352628079158,7.516032241843,11.0680948334825,0.00102004645917503,0.00209312630726735
"EPM2AIP1",0.272827003311731,7.66332732052811,11.0476583554156,0.00103083326062169,0.00211409143002015
"RUSC1",-0.260391855174603,7.45885636490415,10.9960212651358,0.00105860945733335,0.00216985695398162
"RCN1",-0.287638709979349,8.41227936264021,10.9894948933425,0.00106217396702216,0.00217596102576047
"EMC10",-0.263509111539772,7.67109866522086,10.985734672073,0.00106423324083854,0.00217897644785374
